"Qnum";"Question";"Answer1";"Answer2";"Answer3"
"17";"denn eine der wichtigen fragen ist: welchen beitrag leistet dieses programm, um unsere positionierung zu verbessern";"Neutral";"Positiv";"Negativ"
"18";"- ich bin fuer die uebersicht nicht verantwortlich";"Neutral";"Positiv";"Negativ"
"19";"ich glaube, es ist richtig, dass die interessierte oeffentlichkeit das einmuetige ergebnis einer diskussion des deutschen bundestages als sehr viel glaubwuerdiger wahrnehmen wuerde, als wenn vier antraege vorliegen und mehrere davon nicht angenommen werden, obwohl sie im grunde identisch sind";"Neutral";"Positiv";"Negativ"
"20";"wir teilen die auffassung der bundesregierung, dass diese gefangenen in uebereinstimmung mit dem humanitaeren voelkerrecht und den menschenrechtlichen mindeststandards zu behandeln sind";"Neutral";"Positiv";"Negativ"
"21";"es gibt keinen fachmann in deutschland, weder in der wirtschaft noch in der wissenschaft, der dieses programm nicht fuer richtig haelt";"Neutral";"Positiv";"Negativ"
"22";"damit zertreten sie auch entwicklungen, die wir in deutschland unbedingt benoetigen";"Neutral";"Positiv";"Negativ"
"23";"es gibt ja nicht wenige bei ihnen, die der meinung sind, dass sie aufgrund der damaligen politik der vater oder die mutter des jetzigen aufschwungs sind";"Neutral";"Positiv";"Negativ"
"24";"herr kollege kriedner, gestatten sie bitte, dass ich die beiden fragen, die sie gestellt haben, im sachzusammenhang beantworte . .";"Neutral";"Positiv";"Negativ"
"25";"in teilen ist das auch durchaus erreicht worden, in anderen teilen eben nicht";"Neutral";"Positiv";"Negativ"
"26";"frau staatssekretaerin, da ich davon ausgehe, dass sie in ihrem ministerium nicht die ministerin bzw. die beamten, die zwei kinder haben, quasi fuer eine verbrauchsstichprobe herangezogen haben, sondern dass sie ueber daten verfuegen, die ihnen eine beurteilung dieses sachverhaltes ermoeglichen, moechte ich von ihnen wissen, welche grundlagen sie fuer die beurteilung dieser fragen herangezogen haben und seit wann ihnen das bekannt ist, da sie ausgerechnet in diesem jahr mit diesem thema kommen";"Neutral";"Positiv";"Negativ"
"27";"ich glaube, dass dem bundesverfassungsgericht im verfahren sehr deutlich dargelegt wurde, auf welche quellen man sich bezogen hat";"Neutral";"Positiv";"Negativ"
"28";"wir haben ihnen auch gesagt, dass es eine andere moeglichkeit gegeben haette, naemlich die moeglichkeit, die veraenderung ueber aenderungsantraege in der zweiten lesung herbeizufuehren";"Neutral";"Positiv";"Negativ"
"29";"oder gute gruende fuer ein haushaltssicherungsgesetz sieht";"Neutral";"Positiv";"Negativ"
"30";"ich danke ihnen";"Neutral";"Positiv";"Negativ"
"31";"noch: karsten d";"Neutral";"Positiv";"Negativ"
"32";"deshalb fordere ich den aussenminister auf, hier transparenz walten zu lassen und uns auch zu sagen, wer welche leute fuer delegationsreisen vorgeschlagen hat und welches beratungsergebnis am ende fuer die zusammenstellung der delegation herausgekommen ist";"Neutral";"Positiv";"Negativ"
"33";"- okay";"Neutral";"Positiv";"Negativ"
"34";"ihre politik ist in vielen bereichen ein schlag ins gesicht der kleinen leute, deren vertrauen sie sich erschlichen haben";"Neutral";"Positiv";"Negativ"
"35";"aussagen, wie dieses konzept endgueltig aussieht, vermag ich heute noch nicht zu treffen";"Neutral";"Positiv";"Negativ"
"36";"warum hat das bundesinnenministerium die vom stellvertretenden abteilungsleiter grenzschutz schon im sommer des letzten jahres zugesagte ueberpruefung saemtlicher standorte auf der grundlage einheitlicher kriterien und politischer vorgaben nicht realisiert ? .";"Neutral";"Positiv";"Negativ"
"37";"ansonsten gibt es im investiven bereich gott sei dank keine kuerzungen, im gegenteil: die strassenbaumittel wurden um 230 millionen dm aufgestockt";"Neutral";"Positiv";"Negativ"
"38";"ich kann das auf jeden fall fuer den landwirtschaftsausschuss bestaetigen, fuer den es geradezu essenziell ist, wie mit den europaeischen geldern umgegangen wird";"Neutral";"Positiv";"Negativ"
"39";"bezueglich der berufe, die nicht bundeseinheitlich geregelt werden, haben wir das problem, dass der zustaendigkeitsdschungel nicht beseitigt werden wird";"Neutral";"Positiv";"Negativ"
"40";"ich glaube, wir koennen uns darueber freuen, dass im haushalt bereits fuer dieses jahr mittel veranschlagt sind, die wir auch gerne ausgeben wollen";"Neutral";"Positiv";"Negativ"
"41";"bei herrn lindner bleibt die demokratie vor den werkstoren stehen";"Neutral";"Positiv";"Negativ"
"42";"die milcherzeuger brauchen dringend sicherheit fuer ihre investitionsentscheidungen";"Neutral";"Positiv";"Negativ"
"43";"noch: heide mattischeck - ja, aber das ziel haben sie aus den augen verloren";"Neutral";"Positiv";"Negativ"
"44";"ich danke fuer ihre aufmerksamkeit";"Neutral";"Positiv";"Negativ"
"45";"damit zaehlt dieses gebiet zu den schwerpunkten unserer zusammenarbeit";"Neutral";"Positiv";"Negativ"
"46";"ich gehe davon aus, dass die von uns eingesetzte arbeitsgruppe, die im fruehjahr ihre empfehlungen abgeben wird, einen ganz konkreten vorschlag machen wird";"Neutral";"Positiv";"Negativ"
"47";"grosse ereignisse finden manchmal am 3. juni statt";"Neutral";"Positiv";"Negativ"
"48";"damit hat die bundesrepublik nicht nur grosse verantwortung, sondern auch eine entsprechende pflicht hinsichtlich der einforderung von arbeits- und einkommensbedingungen sowie die rahmenbedingungen fuer die gewerkschaftliche arbeit gemaess den in den eu-staaten gueltigen standards und denen der ilo";"Neutral";"Positiv";"Negativ"
"49";"ich hoffe im interesse aller kolleginnen und kollegen, dass der motivationsschub allein des beschlusses heute ausreichen moege, dass die vielfliegenden abgeordneten den sommer gut ueberstehen koennen";"Neutral";"Positiv";"Negativ"
"50";"der zeitraum der interessensbekundung fuer die erste tranche endete am 31. maerz 2008. sie wissen, dass sich bereits acht branchen gemeldet haben";"Neutral";"Positiv";"Negativ"
"51";"aber ich hielt dies fuer notwendig, um den rahmen zu beschreiben, in dem sich dieses gesetz bewegt";"Neutral";"Positiv";"Negativ"
"52";"herr kollege erler, wuerden sie bitte zur kenntnis nehmen - sie haben das nicht erwaehnt -, dass es vor gut einem jahr, als die nato nach dem grossen massaker auf dem marktplatz das ultimatum gegenueber den karadzic<'-truppen, die beschiessung von sarajevo aufzugeben, ausgesprochen hatte, tatsaechlich monate und wochen gab, in denen man in sarajevo wieder auf der strasse sitzen konnte, in denen man geschuetzt war, wenn man wasser holen wollte, und dass es nicht stimmt, dass eine feste haltung von nato und uno jedesmal zu einer eskalation gefuehrt hat ? . .";"Neutral";"Positiv";"Negativ"
"53";"liebe frau abgeordnete hagedorn, hier wiederholt sich das thema";"Neutral";"Positiv";"Negativ"
"54";"ueber weitere faelle kann ich hier keine auskunft geben, weil mir weitere faelle nicht bekannt sind";"Neutral";"Positiv";"Negativ"
"55";"es ging lediglich darum, dass der herr bundespraesident wissen musste, dass der dalai lama teilnimmt, der ja in seiner person - das wird hier niemand abstreiten koennen - ein gewisses politisches problem darstellt";"Neutral";"Positiv";"Negativ"
"56";"in diesem zusammenhang ist dieser hinweis gekommen";"Neutral";"Positiv";"Negativ"
"57";"ich bin mir sicher, dass diese grosse koalition dies bis zum fruehjahr auch erreichen wird";"Neutral";"Positiv";"Negativ"
"58";"wir fordern aber die bundesregierung auf, in staerkerem mass zu einer aktiven, zu einer gestaltenden wirtschaftspolitik zurueckzukehren";"Neutral";"Positiv";"Negativ"
"59";"deshalb moechte ich das auch so im raume stehenlassen, wie es nun einmal gewesen ist";"Neutral";"Positiv";"Negativ"
"60";"wir halten eine debatte darueber fuer unerlaesslich, da es bei der regierungskoalition bedrohliche bestrebungen gibt, sich von den prinzipien gezielter foerderung noch weiter zu entfernen";"Neutral";"Positiv";"Negativ"
"61";"da koennen sie unter dem stichwort blockade viel lernen";"Neutral";"Positiv";"Negativ"
"62";"das koennte wirklich bluehende landschaften bringen";"Neutral";"Positiv";"Negativ"
"63";"daraus resultiert fuer die bundesregierung in der wirtschaftspolitik folgendes";"Neutral";"Positiv";"Negativ"
"64";"schliesslich brauchen wir gerade in dieser zeit eines: langfristige und gute qualifizierung";"Neutral";"Positiv";"Negativ"
"65";"schon deswegen moechte ich die frage in dieser hinsicht gern wiederholen: wird nicht die wohnungsnot gerade dadurch gefoerdert, dass die schulden bei den altbauten so hoch sind, dass dort keine kreditwuerdigkeit mehr im hinblick auf sanierungsmassnahmen besteht";"Neutral";"Positiv";"Negativ"
"66";"- etwas aehnliches habe ich bei der rentendiskussion in deutschen altenheimen erlebt";"Neutral";"Positiv";"Negativ"
"67";"herr staatssekretaer, habe ich sie bei der vielfaeltigen beantwortung der fragen richtig verstanden, dass sie nach wie vor ihre kritiker und kritikerinnen fuer hysteriker und hysterikerinnen halten und dass sie keinen politischen schaden angerichtet sehen trotz der tatsache, dass dies im ausland durchaus irritationen gebracht hat, und dass sie das ganze nur auf eine verfehlte oeffentlichkeitsarbeit ihrerseits zurueckfuehren ? .";"Neutral";"Positiv";"Negativ"
"68";"wir sprechen im moment ueber einen gesetzentwurf der fdp-fraktion";"Neutral";"Positiv";"Negativ"
"69";"der bundeskanzler hat eine solche moeglichkeit zum handeln offenbar auch erkannt, naemlich im jahr 2000 in weiden, wo er ein foerderprogramm fuer die grenzregionen angekuendigt hat - sie haben ein solches gerade verneint";"Neutral";"Positiv";"Negativ"
"70";"herr staatsminister, billigt denn der bundeskanzler das verhalten zum beispiel des generalsekretaers muentefering am 21. maerz bei seiner vernehmung, angeblich eine liste von spendern nicht gekannt zu haben, die dem willy-brandt-haus bereits am 14. maerz per einschreiben mit rueckschein zugegangen ist ? .";"Neutral";"Positiv";"Negativ"
"71";"wenn man sich die erhoehung der frauenquote in fuehrungspositionen anschaut, dann stellt man fest: trotz der mindestens zehn jahre alten selbstverpflichtung der grossen unternehmen ist das ergebnis gleich null";"Neutral";"Positiv";"Negativ"
"72";"die dinge, die dort debattiert werden, koennen nur nach beschlussfassung des untersuchungsausschusses veroeffentlicht werden";"Neutral";"Positiv";"Negativ"
"73";"man muss aber auch genau definieren, was unter patenten im einzelnen zu verstehen ist";"Neutral";"Positiv";"Negativ"
"74";"bekanntlich lassen sich zusammengebrochene strukturen kaum oder gar nicht reaktivieren, d.h., man muss von vorne anfangen";"Neutral";"Positiv";"Negativ"
"75";"aber das ziel wird im fortschrittsbericht deutlich, auch im mandatstext ; ich bitte, ihn wirklich intensiv zu lesen";"Neutral";"Positiv";"Negativ"
"76";"wo leben wir denn, dass wir das tun, dass wir das vor allem widerspruchslos tun koennen";"Neutral";"Positiv";"Negativ"
"77";"dabei ging es inhaltlich um die neustrukturierung, reorganisation und anpassung der sportorganisation an das gegebene system der alten bundesrepublik";"Neutral";"Positiv";"Negativ"
"78";"ich werde dem aber nachgehen und ihnen eine schriftliche antwort zukommen lassen";"Neutral";"Positiv";"Negativ"
"79";"sie haben zugang zu den protokollen";"Neutral";"Positiv";"Negativ"
"80";"hier ist nach praezisen zahlen gefragt worden, diese kann ich ihnen im moment aber nicht nennen";"Neutral";"Positiv";"Negativ"
"81";"so haben wir zum beispiel beschlossen, dass die prinzipien von nachhaltigkeit und wirtschaftlichkeit eingehalten werden sollen, dass im rahmen der novellierung des bundeswaldgesetzes verwaltungsvereinfachungen im forstbereich und weitere foerderungsmoeglichkeiten fuer die waelder geprueft werden sollen und dass die nutzung von holz als nachwachsender roh- und baustoff selbstverstaendlich gefoerdert werden soll";"Neutral";"Positiv";"Negativ"
"82";"- dies sind der aufbau der privaten altersvorsorge, der engagierte versuch, die rente fuer die junge generation armutsfest zu machen, der engagierte versuch, eine eigenstaendige altersabsicherung fuer frauen aufzubauen";"Neutral";"Positiv";"Negativ"
"83";"aber da hoeren die gemeinsamkeiten dann auch schon auf";"Neutral";"Positiv";"Negativ"
"84";"aber vielleicht geben mir die anderen etwas ab";"Neutral";"Positiv";"Negativ"
"85";"herr staatssekretaer, wenn es dieses handbuch gibt, sind sie dann mit mir der meinung, dass wir es unter dem besonderen aspekt verschlankung des staates um ein kapitel erweitern sollten, um diesen aspekt intensiver zu beruecksichtigen ? .";"Neutral";"Positiv";"Negativ"
"86";"der von den jungen abgeordneten parteiuebergreifend initiierte antrag zum deutsch-tschechischen jugendaustausch ist ein kontrapunkt zur unfaehigkeit";"Neutral";"Positiv";"Negativ"
"87";"damals wurden wir noch beschimpft, dass wir ein thema hochziehen und den deutschen bundestag mit einer solchen spendenaffaere beschaeftigen wollten";"Neutral";"Positiv";"Negativ"
"88";"doch macht das sinn";"Neutral";"Positiv";"Negativ"
"89";"die liste, die der finanzminister vorhin vorgelesen hat, war schon deutlich und beachtlich";"Neutral";"Positiv";"Negativ"
"90";"die ausstattung und ausruestung der bundeswehr, die vereinbarkeit von familie und beruf, die infrastruktur der standorte, die versetzungshaeufigkeit, finanzielle anreize sowie die ausbildung und fortbildungsmassnahmen sind weitere aspekte, die in diesem zusammenhang beruecksichtigt werden muessen und auch beruecksichtigt werden";"Neutral";"Positiv";"Negativ"
"91";"das zweite kriterium des stabilitaetspaktes fordert, die gesamtverschuldung unter 60 prozent des bip zu halten";"Neutral";"Positiv";"Negativ"
"92";"- die menschen vor ort wollen, glaube ich, dass dieses problem von der bundesregierung geloest wird";"Neutral";"Positiv";"Negativ"
"93";"die deutsche flugsicherung geht auch davon aus, dass ihr vorschlag bezueglich der flugrouten korrekt abgewogen worden ist";"Neutral";"Positiv";"Negativ"
"94";"wir sind der meinung, dass ihnen dies die politik abnehmen muss";"Neutral";"Positiv";"Negativ"
"95";"wir sehnen uns als mehrheit des parlaments schon langsam danach, endlich einer regierung gegenueberzusitzen, die bereit ist, die parlamentsbeschluesse auch umzusetzen";"Neutral";"Positiv";"Negativ"
"96";"achim grossmann, parl. staatssekretaer beim bundesminister fuer verkehr, bau und stadtentwicklung: in dieser sitzung, die, wie gesagt, von der bundesregierung beantragt worden ist, hat herr schaupensteiner im grunde genommen das gleiche gesagt wie in der verkehrsausschusssitzung, an der auch sie teilgenommen haben";"Neutral";"Positiv";"Negativ"
"97";"ernaehrt";"Neutral";"Positiv";"Negativ"
"98";"heute und morgen findet das treffen der fuer regionalentwicklung zustaendigen eu-minister in leipzig statt, das mit der verabschiedung einer leipzigcharta schliessen soll";"Neutral";"Positiv";"Negativ"
"99";"herr kollege singer, da ich mittlerweile auch ihr lebhaftes interesse daran kenne und darum z.b. auch auf ihre unterstuetzung dieser staendigen bemuehungen der bundesregierungen hoffen kann, glaube ich, dass unsere gemeinsamen bemuehungen demnaechst erfolg haben werden . .";"Neutral";"Positiv";"Negativ"
"100";"eltern mit schulpflichtigen kindern wissen, woran es liegt: es liegt nicht an der mehrwertsteuer, sondern an der gewinnspanne in der jeweiligen saison ; ich habe eben darauf hingewiesen . .";"Neutral";"Positiv";"Negativ"
"101";"aber all die aspekte, die sie zum anlass fuer eine gewisse selbstbeweihraeucherung genommen haben, vor allen dingen was die materielle ausstattung im studien- und ausbildungsbereich angeht, sind nicht gegenstand dieser regelung";"Neutral";"Positiv";"Negativ"
"102";"das darf man, wie ich meine, nicht geringschaetzen";"Neutral";"Positiv";"Negativ"
"103";"das ist auch gut so";"Neutral";"Positiv";"Negativ"
"104";"ueberlassen wir es also mehr den tarifpartnern, vor allem den arbeitgebern und arbeitnehmern vor ort, denn die wissen am besten, was fuer ihren betrieb und fuer ihren ei-genen arbeitsplatz gut ist";"Neutral";"Positiv";"Negativ"
"105";"ich will noch einmal sagen, dass wir in der zeit, in der wir die verantwortung fuer die bundesrepublik deutschland hatten, diese gesamtwirtschaftlichen zusammenhaenge bei den traegern der politischen verantwortung in vielen faellen nicht so heruebergebracht haben, wie es fuer die volkswirtschaft dringend notwendig gewesen waere";"Neutral";"Positiv";"Negativ"
"106";"ich bitte sie darum, dass die frage von ihrem kollegen in der naechsten sitzung der parlamentarischen kontrollkommission gestellt wird";"Neutral";"Positiv";"Negativ"
"107";"den ganzen vormittag ueber die zwischenfragen der kollegin roensch nicht zugelassen haben, moechte ich dies jetzt auch nicht tun";"Neutral";"Positiv";"Negativ"
"108";"aber regen sie sich nicht auf";"Neutral";"Positiv";"Negativ"
"109";"sie muessen geld dafuer zur verfuegung stellen";"Neutral";"Positiv";"Negativ"
"110";"die fdp scheint das noch nicht verstanden zu haben";"Neutral";"Positiv";"Negativ"
"111";"sie selber weisen doch immer auf diesen gesichtspunkt hin";"Neutral";"Positiv";"Negativ"
"112";"mit der ersten stufe konnten in bezug auf die sozialhilfe nur einsparungen im bereich des grossen und kleinen pflegegeldes fuer die haeusliche pflege erzielt werden";"Neutral";"Positiv";"Negativ"
"113";"die heute hier vorliegenden ilo-abkommen 148, 162 und 167 sind ein weiterer schritt zu mehr arbeitssicherheit im internationalen bereich";"Neutral";"Positiv";"Negativ"
"114";"herr kollege, stimmen sie mir zu, dass wir mit dem hauptstadtumzug, fuer den sehr viel geld ausgegeben werden muss, eine grosse chance haetten, eine lokomotive fuer den durchbruch zur informationsgesellschaft in diesem lande zu bekommen";"Neutral";"Positiv";"Negativ"
"115";"mag fuer eine klientelpartei wie die fdp moeglich sein";"Neutral";"Positiv";"Negativ"
"116";"um es deutlich zu sagen: unterstellt, das foerdervolumen ist ende dieses jahres noch nicht ausgeschoepft, so ist es bei vorliegen der erforderlichen mehrheiten im deutschen bundestag und im bundesrat und gegebenenfalls erforderlichen fristverkuerzungen nicht ausgeschlossen, dass eine entsprechende gesetzesvorlage des deutschen bundestages oder des bundesrates zur nichtanrechnung der umweltpraemie auf leistungen nach dem sozialgesetzbuch ii rechtzeitig vor diesem termin beschlossen, ausgefertigt und verkuendet werden kann";"Neutral";"Positiv";"Negativ"
"117";"wiederholt haben wir schon darauf hingewiesen, dass das gesundheitsministerium bei entsprechenden gesetzentwuerfen auch die ausbildungs- und pruefungsverordnungen vorlegen moechte";"Neutral";"Positiv";"Negativ"
"118";"meine damen und herren";"Neutral";"Positiv";"Negativ"
"119";"der auch hohe loehne ermoeglicht und oekonomisch rechtfertigt";"Neutral";"Positiv";"Negativ"
"120";"es ist vielmehr richtig, dass die arbeit der entsprechenden arbeitsgruppe der koalition durch mitarbeiter des finanzministeriums flankiert wird";"Neutral";"Positiv";"Negativ"
"121";"- wir wollen einmal sehen, ob wichtige bundeslaender wieder zum teufel oder anderswohin gehen";"Neutral";"Positiv";"Negativ"
"122";"die bundesregierung hat dabei erneut ihre ablehnende haltung unter beweis gestellt";"Neutral";"Positiv";"Negativ"
"123";"ich kann das nicht mit hinreichender genauigkeit ablesen";"Neutral";"Positiv";"Negativ"
"124";"das ist in einem rechtsstaat der fall";"Neutral";"Positiv";"Negativ"
"125";"das erp-sondervermoegen ist darueber hinaus ein umweltprogramm";"Neutral";"Positiv";"Negativ"
"126";"der einwand des staatsministers, denken sie an somalia, ist voellig berechtigt";"Neutral";"Positiv";"Negativ"
"127";"wir wissen heute, dass uns nur noch einige hundert versuche an menschlichen eizellen von der herstellung eines menschlichen klons, der auch lebt, trennen";"Neutral";"Positiv";"Negativ"
"128";"dann werden sie sehen, dass ich hier auch luegen richtigstellen darf";"Neutral";"Positiv";"Negativ"
"129";"die opposition hat dargelegt, dass sie eigentlich ueberhaupt nichts zu kritisieren hat, sondern hier nur polemik betreiben moechte";"Neutral";"Positiv";"Negativ"
"130";"informieren ja, einmischen nein - dieser grundsatz haette viel staerker den geist des vorliegenden gesetzes beeinflussen muessen";"Neutral";"Positiv";"Negativ"
"131";"ich muss feststellen, dass ich dem deutschen bundestag, dem haus der freiheit, nur deshalb angehoeren kann, weil dieses haus unter rot-gruen 1999 das staatsangehoerigkeitsrecht geaendert hat";"Neutral";"Positiv";"Negativ"
"132";"daran ist nichts zu aendern";"Neutral";"Positiv";"Negativ"
"133";"wie sehen sie das als sprecher der cdu/csu";"Neutral";"Positiv";"Negativ"
"134";"ein weit verzweigter, tragfaehiger und dynamischer europaeischer forschungsraum braucht dazu effiziente strukturen und foerderinstrumente, die gute zusammenarbeit und koordinierung gewaehrleisten";"Neutral";"Positiv";"Negativ"
"135";"da muessen sie sich ihre eigene befindlichkeit klar machen";"Neutral";"Positiv";"Negativ"
"136";"ich gestatte natuerlich gern der frau kollegin kressl eine zwischenfrage, weil es immer spannend ist, mit ihr zu diskutieren . .";"Neutral";"Positiv";"Negativ"
"137";"herr abgeordneter storm, ich habe zwei daten genannt: wenn man das kindergeld herausrechnet, ergibt sich eine steigerung um 2,5 prozent, aber durch andere massnahmen eine absenkung um 1,5 prozent";"Neutral";"Positiv";"Negativ"
"138";"menschen ohne zugang zu angemessenen toiletten sind einem kreislauf aus krankheit und armut ausgesetzt";"Neutral";"Positiv";"Negativ"
"139";"herr kollege, die aufgabe der regierungskommission ist nicht, das endgueltige system zu beschreiben - das steht bereits im koalitionsvertrag -, sondern, den weg vom zustand heute zum idealzustand von morgen genau vorzugeben ; denn nach elf jahren roter und rot-gruener gesundheitspolitik wird man nicht von heute auf morgen das system schlagartig verbessern koennen";"Neutral";"Positiv";"Negativ"
"140";"ich kann nicht einsehen, dass wir viel geld fuer diese bank bereitstellen, wenn von denen fast das ganze budget von kambodscha bezahlt wird, wo die opposition, wo die demokratie unterdrueckt wird";"Neutral";"Positiv";"Negativ"
"141";"trotzdem haelt die frau ministerin eine rede ueber die internationalisierung des bildungswesens und der hochschulen";"Neutral";"Positiv";"Negativ"
"142";"warum haben sie nicht frueher gehandelt";"Neutral";"Positiv";"Negativ"
"143";"mein fazit dieser situation sah so aus: trotz aller kontroversen in unseren debatten und trotz all unseres schlagabtauschs - manchmal in einer grobschlaechtigkeit, die ich nicht kommentieren will - muessen wir immer wieder ueberpruefen, ob die massstaebe, die wir persoenlich in der politischen auseinandersetzung anlegen, auch von anderen an solche debatten angelegt werden";"Neutral";"Positiv";"Negativ"
"144";"die sensibilitaet gegenueber der laermbelaestigung ist groesser geworden und steigt permanent";"Neutral";"Positiv";"Negativ"
"145";"abschliessend moechte ich noch auf eines hinweisen, weil sie gesagt haben, wir deuteten etwas um";"Neutral";"Positiv";"Negativ"
"146";"es ist sicherlich keine ueberraschung fuer sie";"Neutral";"Positiv";"Negativ"
"147";"ich danke fuer ihre geduld, frau praesidentin";"Neutral";"Positiv";"Negativ"
"148";"liebe kolleginnen und kollegen";"Neutral";"Positiv";"Negativ"
"149";"ferdi, ick find, dat hest du ganz fein mokt";"Neutral";"Positiv";"Negativ"
"150";"herr staatssekretaer, in den medien wurde von einem einigungsvorschlag der bundesanstalt berichtet";"Neutral";"Positiv";"Negativ"
"151";"es ist doch klar: das beste mittel zur bekaempfung der altersarmut sind einstiegschancen in den arbeitsmarkt, qualifizierung und aufstiegschancen aus dem niedriglohnsektor, in dem sich inzwischen jeder fuenfte befindet, und gute und konsequente mindestloehne";"Neutral";"Positiv";"Negativ"
"152";"wissen sie, ich bin da nicht so pingelig";"Neutral";"Positiv";"Negativ"
"153";"kolb [fdp]: ja";"Neutral";"Positiv";"Negativ"
"154";"herr kollege wissing, ich wollte sie nur fragen, wie das, was sie gerade zu den umweltsteuern vorgetragen haben, zur programmlage ihrer partei und insbesondere zu dem entsprechenden beschluss, den sie zu den umweltsteuern gefasst haben, passt . .";"Neutral";"Positiv";"Negativ"
"155";"das werden wir aber auch durch beschluesse von hier aus nur schwer aendern koennen, weil das mit reformen in den hochschulen und einer zusaetzlichen orientierung der forschungsarbeit in den hochschulen und den forschungsstaetten auf den anwendungsbereich zu tun hat, was bei uns unterentwickelt ist";"Neutral";"Positiv";"Negativ"
"156";"auch alle weiteren vorstoesse in dieser richtung sind am widerstand der laender - ohne deren zustimmung es nicht gehen wird - gescheitert";"Neutral";"Positiv";"Negativ"
"157";"astrid klug, parl. staatssekretaerin beim bundesminister fuer umwelt, naturschutz und reaktorsicherheit: jawohl";"Neutral";"Positiv";"Negativ"
"158";"ich persoenlich bin der meinung, dass unsere botschaft an die eu sein sollte, dass auch sie ihr 30-prozent-ziel unkonditioniert erklaert und damit das nachvollzieht, was wir in deutschland schon gemacht haben";"Neutral";"Positiv";"Negativ"
"159";"kann es sein, dass sie diese aussage hier machen koennen, weil die kollegin ulla jelpke, die dieses gesetz seit drei oder vier jahren";"Neutral";"Positiv";"Negativ"
"160";"es ist kein berufsausbildungssicherungsgesetz, es ist ein berufssicherungsgesetz fuer herrn muentefering";"Neutral";"Positiv";"Negativ"
"161";"diese hoffnungen sollten wir nicht enttaeuschen, indem wir andere auffordern, an den spielen nicht teilzunehmen";"Neutral";"Positiv";"Negativ"
"162";"logisch folgt, dass diejenigen laender, die niedrigere steuern als die geberlaender in europa haben, ab sofort keine foerdergelder mehr erhalten koennten";"Neutral";"Positiv";"Negativ"
"163";"es ist guter demokratischer brauch, in wichtigen existenzfragen, auch beim bau dieser europaeischen union, die unterstuetzung aller in diesem hause zu haben";"Neutral";"Positiv";"Negativ"
