doc_id;username;retweet_count;favorite_count;full_text;label;topic;from;to
151;nouripour;0;0;haelt gerade seiner Rede als Staatsminister. Freue mich sehr fuer ihn und auf die Zusammenarbeit. Auch wenn die Abstraktionshoehe seiner Worte ad hoc massiv zugenommen hat.;positive;Staatsminister;29;43
24395;norbert_mdb;0;2;1/2 Nur mal so zum Mitschreiben: Sie sind nicht die Regierungssprecher, die was melden muessen. Ich denke, Ihre Aufgabe waere es, zu hinterfragen. Z.B. warum Reichsbuerger nicht zu Rechts gezaehlt werden die methodische Grundlage insgesamt (Extremismustheorie).;negative;Reichsbuerger;158;171
24556;Martin_Hess_AfD;5;18;Arbeitet fuer Kriminalpolizisten oder fuer polizeifeindliche Ideologen? fordert ernsthaft Untersuchung ueber angeblichen Rassismus. Schluss damit Polizisten duerfen nicht aus ideologischen Motiven bei der Arbeit behindert werden!;negative;Rassismus;121;130
5358;sven_kindler;58;155;Anfrage von mir zeigt: Bundesregierung subventioniert mit ueber 7 Milliarden jaehrlich den schmutzigen Diesel. 7 Milliarden Steuergeld fuer Klimazerstoerung und dreckige Luft. Was koennte man damit alles Gutes machen... OePNV Bahn Fahrrad Emobility;negative;Diesel;103;109
20477;martinarenner;88;280;Im Verhalten von Maassen zeigt sich seine Verachtung fuer Demokratie, Parlament und Presse und seine Naehe zur autoritaeren Rechtsentwicklung und seiner Protagonisten. Er ist in seinem Amt nicht mehr tragbar - nicht erst nach seinen Aeusserungen zu Chemnitz.;negative;Rechtsentwicklung;124;141
13651;s_muenzenmaier;111;374;CDU opfert Ministerien + letzte Inhalte, voellige Selbstaufgabe fuer angie SPD besiegelt Untergang und baetschi soll Parteichefin werden! Und wir? Bekommen kaum Luft vor Lachen und diskutieren, ob man Halbtote ueberhaupt noch jagen muss! AfD Gro Ko;negative;AfD;238;241
17369;CarenLay;68;195;Die AfD hat sich heute im Bundestag als Opfer linksextremer Gewalt inszeniert. Doch die eigentlichen Brandstifter sitzen in ihren eigenen Reihen. Rassistische Gewalt ist die groesste Bedrohung fuer unsere Demokratie.;negative;Gewalt;60;66
26338;b_riexinger;3;28;Am Rydersday demonstrieren die Fahrerinnen und Fahrer der Lieferdienste fuer bessere Bezahlung. Ich wuensche ihnen viel Erfolg. Sie haben es sich verdient! NGG Lieferando Foodora;positive;Lieferdienste;58;71
7864;KatjaMast;0;8;Am Science Day wuensche ich mir mehr Sichtbarkeit, mehr Gehoer, mehr Anerkennung u. mehr Respekt fuer die vielen grossartigen Frauen in der Wissenschaft!;positive;Wissenschaft;140;152
11428;katdro;1;5;Das ist Ideologie, keine vernuenftige Wirtschaftspolitik. Deutschland braucht einen Wirtschaftsminister, der den Mut hat, fuer Investitionen zu sorgen, um die drohende Rezession abzuwenden. 2/3;negative;Wirtschaftspolitik;38;56
13164;danielakolbe;0;0;Aber verpflichtend ist eine Mund-Nasen-Bedeckung im Fernverkehr nur in NRW. Ich finde die Durchsage auch irritierend. Ein Wunsch an die Fahrgaeste eine zu tragen, waere viel zielfuehrender, hoeflicher und effektiver.;negative;Fahrgaeste;136;146
21034;torstenherbst;0;0;berichtet ueber meine Forderung, dass die Bahn bereits ab 30 Minuten Verspaetung von Fernzuegen ihre Fahrgaeste finanziell entschaedigen soll Ein wichtiger Anreiz fuer mehr Service und Kundenfreundlichkeit auf der Schiene.;negative;Fahrgaeste;101;111
18516;kleikert;0;0;Guter Anfang! Die Wirtschaft sollte jetzt auch Fahrt aufnehmen fuer eine engagierte pro-EU-Kampagne. EU;positive;Wirtschaft;18;28
14969;s_schwartze;1;6;Brexit Deal Der Kurs der britischen Regierung ist ein reines Pokerspiel. Keine neuen Ideen, sondern Druck aufbauen und hoffen das das Parlament oder die EU schon nachgeben wird. Das ist unglaublich verantwortungslos und kann besonders fuer die Briten schlimme Folgen haben!;negative;Brexit;0;6
12994;ekindeligoez;0;3;bmbf bewilligt die erste Tranche Finanzmittel Batteriefabrik Muenster 150 Mio trotz berechtigter Zweifel am Verfahren! Krasser Fehler! Selbstbedienung?;negative;Finanzmittel;33;45
7757;zaklinnastic;2;15;Herzlichen Glueckwunsch zur Wahl als Fraktionsvorsitzende Gemeinsam moechten wir dem globalisierten Kapitalismus eine starke Linke im Parlament entgegensetzen.;positive;Linke;125;130
17096;tschipanski;1;9;nennt seine Ideen fuer ein digitales Deutschland. Wer mehr erfahren moechte, sollte sich am 10.01. das vom organisierte Gespraech ansehen bzw. anhoeren. Mit dabei sind auch sowie vom Team Roettgen. Digitalpolitik Zukunft;positive;Digitalpolitik;198;212
12960;JM_Luczak;0;3;Forschung ist die Keimzelle fuer Fortschritt. Deswegen investieren wir bis 2030 rund 160 Mrd. Euro in Wissenschaft und Forschung. Wissenschaftspakte Mehr dazu:;positive;Forschung;0;9
10020;tj_tweets;0;1;Und trotz all dessen versteht kein Buerger, wie Gesetze in Bruessel entstehen. Diese gahze Transparenzdebatte kann man fuehren, sie geht aber an der Lebenswirklichkeit der meisten Waehler vorbei.;negative;Gesetze;48;55
11253;NordMdb;2;6;tagesthemen kennt im Kommentar nur noch Ausgangssperre, Ausgangssperre, Ausgangssperre und behauptet, ohne diese wuerde die Politik hierzulande tatenlos zu sehen, wie sich Corona ausbreitet. Gehts noch?;negative;Corona;172;178
20439;n_roettgen;0;27;Vielen Dank, dass ihr mich eingeladen habt und toll, wie aussen- und sicherheitspolitisch interessiert die CDU Goettingen ist, Hat grossen Spass gemacht!;positive;CDU;107;110
14858;KatjaKeul;6;15;Grosses Dankeschoen an von Er hat beim Gruendungstreffen zum Parlamentskreis Atomwaffenverbot deutlich gemacht, wie enorm wichtig unsere Unterstuetzung aus dem Bundestag fuer das Anliegen ist.;positive;Bundestag;160;169
2037;oezoguz;0;9;Ich schreibe Ihnen in meiner Antwort, dass ich sehr wohl sehe, dass bei diesem Kompromiss keine Seite vollends zufrieden sein wird. Natuerlich muessen Sie nicht zustimmen. Aber was soll dieses einseitige an denPranger stellen? Das kenne ich bisher nur von der AfD. Kein guter Stil.;negative;AfD;260;263
11015;renatekuenast;9;111;Vor allem braeuchten wir jetzt mal einen faehigen Verkehrsminister statt Scheuer. Einen, der das Geld nicht rausschmeisst. Einen, der Mobilitaet der Zukunft organisiert.;negative;Verkehrsminister;50;66
1078;b_riexinger;36;190;und Habeck stehen bereit und folgen dem Ruf zur Loesung von Konflikten mit Krieg. Es gibt keinen Unterschied, wer eine solche Mission anfuehrt. Krieg ist Krieg und fuehrt zum Tod vieler Menschen. lehnt einen militaerischen Einsatz im Persischen Golf ab!;negative;Krieg;75;80
5015;KarambaDiaby;55;375;Es ist besser, eine Kerze anzuzuenden, als die Dunkelheit zu verfluchen, erklaerte Eleanor Roosevelt, die die Menschenrechte vor 70 Jahren voranbrachte. Die Menschenrechtserklaerung ist seitdem die groesste Kerze, die wir haben. Tagder Menschenrechte;positive;Menschenrechte;110;124
185;HHirte;3;11;Stephanuskreis der steht fuer Religionsfreiheit - aller Religionen. Hierfuer gilt es mit Entschiedenheit einzutreten.;positive;Religionsfreiheit;30;47
24317;UliGroetsch;1;7;Der naechste Neonazi-Killer!! Diesmal ais Hildesheim . Ich bin froh, dass unsere Sicherheitsbehoerden so wirksam und und auf Zack sind!;positive;Sicherheitsbehoerden;81;101
413;karl_lauterbach;15;196;Wo ist das Problem, wenn die Wohnung im Prenzlauer Berg nicht mehr fuer 24 Euro pro Quadratmeter vermietet werden kann? Es sind die hoechsten Mieten, die den Preis aller Mieten nach oben ziehen. Diese Spirale wird gestoppt. Das ist soziale Marktwirtschaft;negative;Mieten;142;148
4875;andreassteier;0;2;Auch sehr gut! Wenn wir so weiter machen, dann brauchen wir uns nicht zu wundern, wenn der Ingenieur, der Handwerker oder der Freiberufler abends lieber ein paar Stunden mehr auf der Arbeit oder bei der Familie verbringen, als sich noch ehrenamtlich in der Politik zu engagieren.;positive;Politik;257;264
16948;carina_konrad;0;8;Corona und ASP gemeinsam sind eine Katastrophe fuer die Schweinehalter, die nicht vorherzusagen war. Entscheidend ist jetzt entschlossenes Handeln gegen die ASP und die Ausweitung der Schlachtkapazitaeten.;negative;Corona;0;6
8986;BriHasselmann;0;8;Stimmt! Gerade in diesen Zeiten ist das Engagement fuer unsere Demokratie , unsere lebendige Zivilgesellschaft u. fuer unsere weltoffene Gesellschaft so bedeutend. Heute Mitgliederversammlung MonaNeubaur;positive;Demokratie;63;73
4256;DietmarBartsch;17;134;Umfassende Aufklaerung zuerst! Gegenseitige Beschuldigungen, im Fall Nawalny dies nicht konsequent zu tun, sollten aufhoeren. Berlin und Moskau muessen dringend zusammenarbeiten. Das 97 fertige Nord Stream2 infrage zustellen, um innenpolitisch Kapital zu schlagen, hilft nicht.;negative;Nawalny;69;76
3581;karl_lauterbach;99;499;Gute Uebersicht der bekannten Covid Risiken beim Fliegen in JAMA. Fliegen wohl weniger riskant als Klassenraum, Regionalzuege oder Buero. Die Flugzeugklimaanlagen schuetzen nicht perfekt. Mit ffp2 Maske gehe ich selbst aber von sehr hoher Sicherheit aus.;positive;Covid;30;35
11160;filizgreen;2;15;Demonstrieren mit tausenden von Personen vor dem BMI oder dem Bundeskanzleramt ist nicht moeglich. Dafuer koennt ihr - egal wo ihr seid - die Evakuierung des Lagers Moria sprichwoertlich anzetteln. 50 sind nicht genug, Evakuierung jetzt! Leave No One Behind Osnabrueck;negative;Demonstrieren;0;13
6601;KarambaDiaby;14;97;Wir brauchen einen linken Populismus, der die offene Gesellschaft verteidigt und die negativen Effekte einer neoliberalen Welt nicht bei den Migrant*innen sucht. Passend zur Frankfurter Buchmesse lese ich gerade das Buch der belgischen Philosophin Chantal Mouffe.;negative;neoliberalen;109;121
4713;Nicole_Hoechst;48;76;Illegale Einwanderung nach Europa wird verherrlicht in die Koepfe unserer Kinder indoktriniert. Eltern sollten bei solch einer Indoktrination in den Schulen auf die Barrikaden gehen! Sicherheit Identitaet Rechtsstaatlichkeit AfD;negative;AfD;225;228
6790;zaklinnastic;3;15;Ich kann diese Wut gegen den Klerus verstehen! Uebergriffige Priester muessen fuer ihre Taten weltlich belangt werden! Kinderrechte sind Menschenrechte! Missbrauch;negative;Kinderrechte;119;131
15582;sven_kindler;25;95;An der Boerse ist die Lufthansa 4 Mrd. wert. Die Bundesregierung will jetzt dem privaten Grosskonzern 9 Mrd geben - Grossteil als Eigenkapital - und nur eine 20-Beteiligung erhalten. Schoenes Geschaeft fuer die Aktionaere*innen, schlechter Deal fuer die Steuerzahler*innen;negative;Bundesregierung;49;64
23389;akbulutgokay;3;8;Moria brennt. Es sind verstoerende Bilder. Es kann einfach nicht sein, dass wir jetzt unglaeubig diese Videos anschauen und verzweifeln. Denn wir kennen die menschenunwuerdige Zustaende. Das Camp muss sofort evakuiert werden. Leave No One Behind;negative;menschenunwuerdige;157;175
19392;HoffmannForest;7;23;Kohleausstieg : Scholz verspricht Kraftwerksbetreibern voellig unnoetigerweise Milliarden-Entschaedigung, mit CO2 Cap und Zertifikaten geht das gratis via;negative;Kohleausstieg;0;13
9637;MiRo_SPD;20;147;Auf Einladung von (online zugeschaltet) habe ich mit Botschafterin SchuelerInnen+Lehrkraeften des Gymnasiums Berlin des ermordeten Lehrers Samuel Paty gedacht. + kaempfen gemeinsam fuer Werte, gegen Hass+islamistischen Terror. Libertedexpression;negative;Terror;219;225
13369;michel_brandt_;25;101;Bin gerade auf dem Weg in den Hambacher Forst, wo Tag zwei der Raeumung der Umweltaktivist*innen durch die Polizei angekuendigt ist. Die Bilder von gestern sind erschreckend. Ich hoffe, es kommen noch viele andere Menschen zum Protest gegen diesen Irrsinn. hambibleibt;negative;Umweltaktivist;76;90
22177;ch_buchholz;2;8;Solange die Bundesreg. darauf beharrt, dass die weitgehend straffrei agierende Kampftruppe KSK mit Abschottung, absoluter Geheimhaltung und Korpsgeist notwendig sei, weckt sie Zweifel, ob sie tatsaechlich bereit ist, die strukturellen Ursachen des Problems an der Wurzel zu packen.;negative;Kampftruppe;79;90
7684;karl_lauterbach;449;2055;Dieses Ergebnis von Chr. Drosten spricht auch dafuer, dass Kinder aehnlich ansteckend wie Erwachsene sein koennten. Das zeigt, wie riskant die Oeffnung der Schulen ist. Es sollte auf jeden Fall in Schulen regelmaessig getestet werden. Auch Lehrer.;positive;Drosten;25;32
26524;TobiasMPeterka;5;40;Der Moment, wo ein Komiker so links ist, dass sein Eintritt in die SPD nicht mehr als Satire erkennbar ist. Boehmermann ist nun dort, wo er hingehoert. Generalsekretaer Lars Klingbeil beglueckwuenscht ihn. Genug gesagt. / Q:;positive;links;30;35
15585;MdbWendt;0;1;Eine richtige Entscheidung. Die Nachfolger der SED wollten eine fuer sie unliebsame Person aus dem Direktorenamt der Gedenkstaette...;positive;Direktorenamt;99;112
21893;HuberMdB;0;4;Ich wuensche meinen Schweizer Freunden viel Erfolg. Nur wer seine Einwanderung kontrolliert, bleibt Herr im eigenen Haus. svp Schweiz Begrenzungsinitiative;positive;Einwanderung;66;78
9271;MatthiasHeider;1;5;Was jetzt von den britischen Inseln auf uns zu kommt ist mehr als eine Schlechtwetterfront. Wir werden jetzt im Bundestag alle Vorkehrungen treffen, um die Auswirkungen eines harten BREXIT auf Deutschland abzumildern!;positive;BREXIT;182;188
9433;IreneMihalic;0;1;Sie haben Recht, dass man sich nicht auf die Sicherheitsbehoerden beschraenken sollte. Man sollte sie aber, wie andere Gruppen auch, dennoch gesondert betrachten. Sonst geht die noetige Differenzierung und damit die Praezision voellig verloren.;negative;Sicherheitsbehoerden;45;65
7826;GrueneBeate;6;13;Der Mindestlohn darf in Zeiten von Corona nicht infrage gestellt werden. Im Gegenteil - der Mindestlohn muss deutlich steigen in Schritten schnell auf 12 Euro. Lohngerechtigkeit Nachfrage Corona zusammenhalten;negative;Corona;35;41
14751;danielakolbe;2;9;Wenn ein Nazi einem Nazi ne weisse Weste attestiert... und der dann auch noch Spitzenkandidat bei einer Landtagswahl wird. Die AfD 2018! Sollten sich alle potentiellen Waehler/-innen klar machen. noafd wirsindmehr;negative;Nazi;9;13
25449;UllaJelpke;18;34;Das Problem ist der Verfassungsschutz selbst: Er hat ueberhaupt nicht im Blick, wie sich rassistische und andere offen demokratiefeindliche Positionen unter dem Deckmantel scheinbarer Legalitaet in der Mitte der Gesellschaft breitmachen.;negative;Verfassungsschutz;20;37
15024;Jan_Nolte_AfD;7;11;Wer noch einen weiteren Beweis brauchte, dass es in der Diskussion rund um Frauenquote und Paritaetsgesetz nicht um Gerechtigkeit, sondern um das Sichern von Pfruenden fuer die eigene Klientel und der Schaedigung des politischen Gegners geht: Hier ist er.;negative;Gerechtigkeit;116;129
8949;karl_lauterbach;49;715;Die Wahl von Esken/Nowabo stellt auf jeden Fall eine Chance fuer eine neue SPD Klimapolitik dar. Mit dem vorliegenden Klimapaket, besonders dem Abwuergen der Windenergie und den mangelhaften Investitionen in die Infrastruktur, kann die SPD nicht glaubhaft in der GroKo bleiben.;positive;Klimapaket;118;128
10687;NicoleGohlke;8;33;Ja, genau, die Gro Ko steht fuer Augen Zu Und Durch, ist Wirtschaftslobby und versagt beim Kampf gegen Armut Mietenwahnsinn Klimakrise. Wenn das mehr Leute in der SPD erkennen wuerden, ist ein erster Schritt gemacht. Kein Weiter So mit diesem Klimapaket;positive;Klimapaket;243;253
26592;josteiniger;0;0;Protest schoen und gut, aber eine Kalbitz-AfD? Da hoerts auf!;positive;Protest;0;7
21191;TabeaRoessner;37;336;Ja, ich will Ich kandidiere fuer das Amt der Oberbuergermeisterin in Mainz! Mainz braucht neue Impulse. Mainz braucht frische Brise. Mainz braucht Dialog auf Augenhoehe. Ich freue mich viele Gespraeche mit den Menschen in meiner Lieblingsstadt. meenzgefuehl Tabeagehtklar;positive;Oberbuergermeisterin;45;65
21972;akbulutgokay;1;5;Die Forderung fuer das kommunale Wahlrecht aller hier lebenden Drittstaatler*innen unterstuetzen wir als seit Jahren. Unsere Unterstuetzung habt ihr! BZI Migration Partizipation;positive;Migration;154;163
9426;mdb_freihold;1;0;Eindrucksvolles Zeichen fuer Demokratie getruebt durch massiven Polizeieinsatz. https://t.co/FydSJDPq9q Kandel Wir Sind Kandel;positive;Demokratie;29;39
1165;michel_brandt_;7;23;Aquarius kehrt heute wieder ins Rettungsgebiet vor Libyen zurueck. Als eines der einzigen verbleibenden humanitaeren Rettungsschiffe im Mittelmeer lautet die Mission: Menschenleben retten! Die letzte Bastion der Menschlichkeit zw. Afrika und Europa! Together For Rescue civil Fleet;positive;Rettungsschiffe;117;132
22467;b_riexinger;28;172;Beim Fussball wurde ueber Rassismus bei Toennies viel diskutiert. Aber was ist eigentlich mit Sklavenarbeit und fehlendem Arbeits- und Infektionsschutz bei Toennies? Der reale Rassismus in der Arbeitswelt ist unertraeglich - und nicht nur die Aeusserungen!;negative;Rassismus;26;35
24018;zaklinnastic;0;3;Richtiger Kommentar Saudi Arabien kann nicht beweisen das Khashoggi noch lebt. Nun sollen Menschenrechte wieder Wirtschaftsinteressen geopfert werden. Bu Reg, beenden sie dieses Trauerspiel.;negative;Menschenrechte;90;104
2213;HellmichMdB;0;3;Heute zu Besuch in Bad Sassendorf: Mein Kollege Arno Klare, MdB, Mitglied im Ausschuss fuer Verkehr und Infrastruktur und im Untersuchungsausschuss fuer den Abgasskandal. In einer offenen Diskussion reden wir bei gut gefuellten Raum ueber die Zukunft des Diesels.;positive;Abgasskandal;157;169
13689;JuergenBraunAfD;1;8;Dafuer zahlen wir doch gerne mehr als 8 Mrd. Zwangsgebuehren. Qualitaetsmedien wie ZDF heute labern dummes Zeug, verwechseln offenbar Fronleichnam mit Allerheiligen. Peinlich, wie Allrounddilettant Wulf Schmiese sich dabei blamiert. GEZ;negative;ZDF;83;86
20237;Beatrix_vStorch;94;309;Religionsfreiheit? Lehnt die Kandidatin der FDP denn die Sharia ab, insofern deren rechtsrelevanten Teile Atheisten nahezu alle Rechte absprechen und darin Christen und Juden zu rechtlich zweitklassigen Menschen erklaert werden? AfD Kopftuch;negative;Religionsfreiheit;0;17
17094;Axel_Fischer;0;0;Zwei Veranstaltungen parallel. Dank Videokonferenz moeglich. haushaelter der cducsu tagen in Berlin und gleichzeitig der CDU bezirksvorstand per video konferenz mit bundesminister peter_altmaier.pr;positive;Videokonferenz;36;50
17642;MatthiasHauer;31;226;Einfach mal auf die Mehrheit hoeren - die ist klar gegen Binnen-I, Gendersternchen, Unterstrich und Co. Wer Sprache lieber weiter vermeintlich gendergerecht verhunzen will, sollte dringend seine Filterblase verlassen. annewill clauskleber Gendersprache;positive;gendergerecht;143;156
12144;agnieszka_mdb;3;11;Die Afghanistan-Strategie der Bundesregierung lautet aussitzen abschieben. Beides ist absolut unverantwortlich. Es braucht endlich einen Abschiebestopp eine ehrliche Debatte ueber einen klugen Abzugsplan;negative;Bundesregierung;30;45
18496;PetraPauMaHe;1;5;Leider ist die Geschichte viel schlimmer: Wie 2011 sollte 2019 die Foerderung gekuerzt und in der Perspektive beendet werden. D. h. es gibt keine Aufstockung, nur Erhaltung des Status Quo. Demokratie muss jeden Tag verteidigt und gestaerkt werden.;negative;Demokratie;189;199
6224;StefanGelbhaar;0;1;Sie verwechseln diskutieren mit beleidigen. Diskutieren wuerde das gemeinsame eroertern eines Themas bedeuten, dh akzeptieren dass der Sachverhalt sortiert werden muss, und das es verschiedene Sichtweisen auf das Thema geben kann. Beides haben Sie nicht mal versucht wuerde ich sagen;positive;eroertern;78;87
13795;KonstantinNotz;6;31;Das Agieren der Bundesregierung in Sachen Daten- und PrivatsphaereSchutz der Buergerinnen und Buerger im auf die Uebermacht der grossen TechKonzerne ist seit vielen Jahren einfach unterirdisch, zynisch und ignorant.;negative;Bundesregierung;16;31
17731;n_roettgen;7;93;Keine Ueberraschung. Die SPD hatte schon einige Kanzlerkandidaten, die nicht zur Partei und ihrer Richtung passten. Das macht auch Scholz zu einer taktischen Loesung, die nicht glaubwuerdig ist.;negative;SPD;25;28
8983;katdro;1;22;Ich unterstuetze gemeinsam mit 244 Kolleg*innen den Weihnachtsappell fuer die schnelle Aufnahme Schutzsuchender von den griechischen Inseln. Menschenrechte gelten ueberall - auch an Europas Aussengrenzen! Leave No One Behind wirhabenplatz;positive;Menschenrechte;141;155
5001;filizgreen;2;2;Stipendien fuer verfolgte Wissenschaftlerinnen und Wissenschaftler: Philosophische Fakultaet der vergibt Kurzzeitstipendien und Fellowships (bue);positive;Stipendien;0;10
25917;tobiaslindner;1;3;Es ist schon bemerkenswert, dass die Unregelmaessigkeiten bei den Abrechnungen erst jetzt auffallen. Zum anderen zeigt sich allerdings auch, dass das Konstrukt aus Rahmenvertrag mit Unterauftragnehmern solchen Machenschaften Tuer und Tor oeffnet.;negative;Unregelmaessigkeiten;37;57
