doc_id;full_text;topic;label
AndrejHunko15320817871;Es ist sehr erfreulich, dass der irrsinnige Haftbefehl gegen Carles Puigdemont endlich aufgehoben wurde. Wir haben von Anfang an eine politische Loesung in diesem Konflikt gefordert, der nicht mit dem Mitteln des Strafrechts zu loesen ist.;Puigdemont;positive
AndrejHunko15426328311;Eine harte Haltung in Bruessel fuehrt auch dazu, dass ein No-Deal-Szenario droht. Meine PM zum EU-Ministerrates zum Brexit: Eine verantwortungsvolle EU-Politik wuerde die Zeit bis Dezember nutzen, um nachzuverhandeln und offene Punkte zu klaeren.;Brexit;negative
AndrejHunko15529038361;Die EU schiebt niemals Gefluechtete nach Libyen zurueck, schreibt die Dieser Faktencheck ist nicht einmal die halbe Wahrheit. Man bildet mit der libyschen Kuestenwache und Seepolizei Handlanger aus, um diese Drecksarbeit zu erledigen.;Gefluechtete;negative
AndrejHunko15662928861;Ich kritisiere das laute Schweigen der Bundesregierung zu den offensichtlichen negativen Auswirkungen der US-Wirtschaftssanktionen gegen Venezuela. Die Nicht-Antwort der Bundesregierung auf die Kleine Anfrage findet sich hier:;Venezuela;negative
AndrejHunko15731105351;Neues von der Skandaldrohne Euro Hawk: Nachdem Kanada Verhandlungen beendete, kaufte die NATO Ersatzteile aus der Resterampe: Jetzt ueberlegt die US-Luftwaffe, den Flieger nebst Bodenstation zu erwerben. Beides hat nur Schrottwert, der Verlust ist immens.;NATO;negative
AndrejHunko15833972701;Tatsaechlich geht es in Sea Guardian um anderes: Die Tuerkei moege bei Nebenaufgabe helfen und Migrantenschmuggel in die EU verhindern. Erdogan soll also seine Grenzoeffnung im Rahmen der NATO zuruecknehmen. Das ist vermutlich genauso dumme Idee wie Mithilfe bei Waffenembargo.;Erdogan;negative
AndrejHunko15861703201;Die neoliberalen Kuerzungsauflagen der EU sind eine Ursache dafuer, dass die Gesundheitssysteme aktuell von Ueberlastung bedroht sind. Eine Lehre aus der Coronakrise muss sein, dass wir ein bedarfsorientiertes und solide finanziertes oeffentliches (!) Gesundheitssystem brauchen!;Gesundheitssystem;negative
AndrejHunko15929832361;Ueberfaellig ist auch der Beitritt der EU zur Europaeischen Menschrechtskonvention, zu dem der Lissabon Vertrag verpflichtet. Eine EU, die nicht einmal den Strassburger Menschenrechtsgerichtshof anerkennt, ist aussenpolitisch unglaubwuerdig.;Menschrechtskonvention;negative
AndrejHunko16018937101;Die Befuerworter von Kampfdrohnen meinen, diese seien bereits in 40 Staaten so weit verbreitet, dass auch Deutschland diesem Kreis beitreten MUSS, um Verbreitung und Einsatz der Killerwaffen mit internationalen Konventionen glaubwuerdig zu reglementieren. Hanebuechenes Argument!;Kampfdrohnen;negative
AndrejHunko16035724861;In der Tat ein Meilenstein: Soeben hat mit Honduras der 50. Staat den Atomwaffenverbotsvertrag ratifiziert. Damit tritt der Vertrag in 90 Tagen, am 22. Januar, in Kraft. Ein wichtiger Schritt! Danke ICAN;Atomwaffenverbotsvertrag;positive
AndrejHunko16036802301;Gratulation nach Chile! Gut 78 fuer eine neue Verfassung. Damit duerften die dunklen Schatten der Pinochet-Aera endgueltig verschwinden. Was fuer ein beeindruckender gesellschaftlicher Prozess nach den Protesten gegen Fahrpreiserhoehungen der Metro vor 1 Jahr!;Chile;positive
Axel_Fischer15804864751;Miteinander reden ist viel besser als uebereinander Reden. Im Gespraech mit dem tuerkischen Botschafter Ali Kemal Aydin. Die Tuerkei ist fuer uns ein wichtiger Partner. tuerkei Deutschland olavgutting;Tuerkei;positive
Beatrix_vStorch15129987741;Da sich nun de Maizire, Maas, Merkel und sogar ihr Reg.-sprecher gegen alle Arten von Antisemitismus ausgesprochen haben, werden wir jetzt deren Zitate ueberall im Staatsfunk finden. Merke: Nicht das Ereignis macht fuer den Staatsfunk die Nachricht, sondern wer es kommentiert.;Staatsfunk;negative
Beatrix_vStorch15148993401;Ich glaube es hackt! BILD verdaechtigt in Gruppen anreisende Maennerhorden von Migranten pauschal als Sex-Mob. Nur weil diese Horden aggressiv u provokant waren u 1.330 Platzverweise erhielten. Ich distanziere mich. Die wollen nur spielen.;Migranten;negative
Beatrix_vStorch15155936561;Die Altersfeststellung bei angeblich minderjaehrigen Fluechtlingen ist vernuenftig und dringend notwendig, denn sie kosten den deutschen Steuerzahler erheblich mehr Geld, erschweren den Schulbetrieb und werden milder bestraft bei Vergehen als Volljaehrige. AfD;Fluechtlingen;negative
Beatrix_vStorch15161895401;Befragung der Bundesregierung. Ministerin weigert sich, die Fragesteller der AfD anzusehen. Schade. Und dann nennt sie die Kultur des Taeters von Kandel Macho-Kultur. Ich mache mir das jetzt mal NICHT zu eigen- sonst Aufschrei.;AfD;negative
Beatrix_vStorch15165267921;Nachgereicht: Meine Frage an BReg, auf welcher rechtl Grundlage Fluechtlinge weiter nach einreisen. Nach dt Recht muessten alle zwingend an d Grenze abgewiesen werden. Die Antwort des Innenministers lautet uebersetzt:Wir sind kein souveraener Staat mehr.;Fluechtlinge;negative
Beatrix_vStorch15178999311;Ekelhaft: gierte nach 7.500 Euro zusaetzlicher Rente pro Jahr im Alter. Dafuer musste er aber das 6. Ministerjahr noch vollenden. Deswegen verlangte er Satzungsaenderung Amt Und Mandat Uebergangszeit . Verlogen Establishment So Sind Se;Establishment;negative
Beatrix_vStorch15183425261;50.000 Euro pro Jahr und Fall. Im Schnitt. Das ist skandaloes. Das ist ungerecht gegenueber deutschen Familien. Eine echte Frechheit. Das allein ist ein Grund, nie wieder CDU, CSU oder SPD oder eine der anderen Willkommensparteien zu waehlen. 50.000 !;deutschen;negative
Beatrix_vStorch15189980091;Die Antifa demonstriert gegen Gewalt? Diese linksextremistischen Steinewerfer und Brandsatzschleuderer sind die letzten, die legitim gegen Gewalt protestieren koennen. Wer legale Demos verhindert, ist ein Gegner der Demokratie. Da darf der Rechtsstaat ruhig hart durchgreifen.;Antifa;negative
Beatrix_vStorch15190781091;Luis de Guindos wird EZB-Vizepraesident. Qualifikation? Keine. Ah, stimmt nicht, er war bei Lehman Brothers an Bord, als die pleite gingen. Und er ist span. Finanzminister. Er kennt sich also aus mit dem, was vom modernen Zentralbanker erwartet wird: Staaten und Banken retten.;EZB-Vizeprasident;
Beatrix_vStorch15205759941;Kein Problem, wenn Automobilindustrie den Bach runtergeht. Wir schulen die Arbeitnehmer einfach um auf die Asyl- u Integrationsindustrie: Sozialarbeiter, Sachbearbeiter im BAMF, Dolmetscher, Polizist, Richter oder so. Was Fuer Ein Irrwitz;Automobilindustrie;negative
Beatrix_vStorch15209208271;Die Fraktion der Europaeischen Christdemokraten moechte den deutschen Beitrag fuer die EU um 30 Prozent erhoehen. Dann zahlt jaehrlich rund 40 statt 30 Milliarden Euro ein. Bisher gab es einen Deckel bei 1 Prozent des BIP. CDU und Co wollen zukuenftig 1,3. Und bewerben das stolz.;EU;negative
Beatrix_vStorch15222609121;Religionsfreiheit? Lehnt die Kandidatin der FDP denn die Sharia ab, insofern deren rechtsrelevanten Teile Atheisten nahezu alle Rechte absprechen und darin Christen und Juden zu rechtlich zweitklassigen Menschen erklaert werden? AfD Kopftuch;Religionsfreiheit;negative
Beatrix_vStorch15223310371;Deswegen NoGEZ ! Warum berichtet die Tagesschau nicht mal ueber den Warenkorb oder die Hedonistische Methode , 2 Tricks, mit der denen die Inflationsrate manipuliert wird?! Ach So Teil Des Systems Volksverdummung!;Tagesschau;negative
Beatrix_vStorch15228651961;Ist das nicht ein toller Zufall? Fuer jedes einzelne Ressort waren jeweils immer eine Frau und ein Mann am besten qualifiziert. Toll, oder? Nie 2 Maenner oder 2 Frauen. Immer ein Mann und eine Frau. Quote garantiert Qualitaet;Frauen;negative
Beatrix_vStorch15263675161;GroKo steht fuer Grosse Kosten. in der Haushaltsdebatte bringt es auf den Punkt. Und der Haushalt ist nicht ausgeglichen. Es fehlen Ausgaben von mindestens einer Milliarde AM TAG. Nachhaltig Verantwortungslos;GroKo;negative
Beatrix_vStorch15269624731;Nein. Das ist noch so ein fataler Irrtum. Fluechtlinge muessen nicht integriert werden. Vir allem nicht durch aktive u also kostenintensive Massnahmen unsererseits. Denn sie bleiben nur auf Zeit. Sie bekommen hier Schutz u kehren sobald als moeglich heim. Asylindustrie;Fluechtlinge;negative
Beatrix_vStorch15282675741;Gesetz zur Erhoehung d Parteienfinanzierung soll in einer Woche durchgepeitscht werden. Ca. EINE Stunde nach Vorlage u lange VOR Ueberweisung in Innenausschuss, wird es da schon behandelt. Oeffentliche Debatte soll maximal verhindert werden. Taschen Voll So Schnell Es Geht;Parteienfinanzierung;negative
Beatrix_vStorch15333071211;Abdul D., der Moerder der 15-jaehrigen Mia, hat den deutschen Steuerzahler bis zu seiner Tat 100.000 Euro gekostet. Neben verpflichtenden Altersueberpruefungen bei angeblich minderjaehrigen Migranten, muss endlich die Grenze gesichert und jeder Illegale abgeschoben werden. AfD;Migranten;negative
Beatrix_vStorch15334507841;Verdammt noch mal! Dann macht die Grenzen dicht!! Ist das so schwer zu kapieren?!! Diese Regierung ist einfach nur noch gemeingefaehrlich! Sorgen und Befuerchtungen und dann weitermachen mit No Border No Nation. Die sind doch alle mit dem Klammerbeutel gepudert!!!;Grenzen;negative
Beatrix_vStorch15337118291;Gute Idee. Nicht neu, nicht seine, aber gut. Damit ist gezeigt, dass man nuetzlichen freien Handel haben kann, ohne wie bei TTIP intensiv Regularien zu harmonisieren. Denn Maerkte kann man oeffnen ohne sog. Freihandelsabkommen FTA. Das ist ja auch der Ansatz von Trump. AfD;Handel;positive
Beatrix_vStorch15362123661;Wer CDU waehlt, kann dann jetzt auch gleich die Linke waehlen. Bleibt sich gleich. Die Union hat keine inhaltlichen Positionen, die sie nicht fuer ein Amt eintauschen wuerde. Nur die AfD;CDU;negative
Beatrix_vStorch15372801611;Chaos-Regierung: Merkel luegt u spaltet das Land,Maassen sagt die Wahrheit,dann folgt mediale Hetzjagd. SPD will seinen Kopf, Seehofer lobt ihn auf Staatssekretaers Posten weg, damit SPD pro forma ihren Willen bekommt, Seehofer kein Rueckgrat zeigen muss und Merkel ihre Ruhe hat.;Merkel;negative
Beatrix_vStorch15375322521;Ich bekomme bald Mitleid mit der SPD. Die koennen es einfach nicht. Mensch Leute, tretet ab, lasst es sein. Das ist wirklich nicht mehr mitanzusehen. Geht angeln oder Bauchtanzen oder so. AfD uebernimmt.;SPD;negative
Beatrix_vStorch15379738641;Merkel-Regierung geht vor Erdogan in die Knie. Auf meine Frage, ob nach Auffassung der Bundesregierung die Ermordung der Armenier 1915/16 ein Voelkermord war, eiert sie nur rum. Ihr sei die Position des Bundestages dazu bekannt. Sie selbst hat dazu keine. erbaermlich feige;Erdogan;negative
Beatrix_vStorch15415882811;Israel hat die Welt hypnotisiert.Moege Allah d Menschen erwecken u ihnen das boesartige Tun Israels zeigen.Das sind die neuen Muslime,die nun im US-Kongress sitzen u die Welt schlaegt Purzelbaeume ueber Islamismus jetzt auch im Kongress.Bis es zu spaet ist Midterms Elections2018;Muslime;negative
Beatrix_vStorch15487789041;Wir hatten den Verdacht ja schon immer,aber schoen, dass das hier jetzt auch mal oeffentlich bestaetigt: Der oer- GEZ - Staatsfunk betreibt nicht Aufklaerung,sondern Politik. Wessen Argumente nicht passen, wird nicht eingeladen.Die haben ihre eigene Agenda-auf unsere Kosten.;Staatsfunk;negative
Beatrix_vStorch15507566431;Erst fuehrt die SPD das 3. Geschlecht ein und meint, man kann auch noch selbst entscheiden, welches davon man hat- und dann wollen sie eine 50-(!)-Quote fuer Frauen. Und wenn man dann fragt, wie das zusammenpasst...stammeln sie rum. Ansehen- lohnt;Geschlecht;negative
Beatrix_vStorch15632957931;Ein trauriger Tag fuer Europa. VdL ist gewaehlt von Macrons Gnaden. Sie steht fuer einen massiven Linkskurs und gegen alles, wofuer wir streiten: ein Europa der Vaterlaender und der Demokratie, denn die geht nur national. AfD;Europa;negative
Beatrix_vStorch15679483371;So sind sie: SPD CDU FDP waehlen einen NPD-Mann ins Amt. Herzlichen Glueckwunsch . Aber Hauptsache entschlossen gegen die AfD kaempfen. Ihr seid so armselig!;AfD;negative
Beatrix_vStorch15688137811;Nachdem Luisa Neubauer die Welt per Flugzeug bereist hat, haelt sie jetzt die Blockade von Flughaefen Bruecken fuer legitim. Von der Doppelmoral zur Oeko-Kriminalitaet ist es bei Fridaysfor Future offenbar nur ein Schritt.Langstrecken Luisa allesfuersklima;Oeko-Kriminalitaet;negative
Beatrix_vStorch15702644171;Ein Islamist im Herzen d frz Sicherheitsbehoerden im Kampf gegen Islamisten? frz Regierung deckt ihn? u dann mordet er 4 Polizisten? Und jetzt will Macron das vertuschen? An Euren Haenden klebt Blut! Ihr mordet mit! Unmoeglich in ? Ich fuerchte: nein.;Islamisten;negative
Beatrix_vStorch15704392151;Vor Ort unter Linken... Ich wollte mir diese Weltuntergangssekte mal aus der Naehe ansehen... Sie bekaempfen offen Demokratie und Industrialisierung. Extinction Rebellion Endzeitsekte Verfassungsfeinde Demokratiefeinde Klimaschutzgesetz Berlin;Linken;negative
Beatrix_vStorch15742561271;Die Klimanazis von Extinction Rebellion lassen die Maske fallen: Die wollen die Demokratie abschaffen und relativieren den Holocaust. Wo bleibt der Verfassungsschutz, Demokratie leben und Unvereinbarkeitsbeschluss der Gruenen?;Klimanazis;negative
Beatrix_vStorch15790920641;Klar- Klimahysterie ist das schon lange nicht mehr. Die brauchen Hilfe. Aerztliche. Und wie gut, dass hier niemand Aengste schuert. Langstrecken Luisa FFF Klimaklage Klimakrise;Klimahysterie;negative
Beatrix_vStorch15816771731;Wer verroht hier die Sprache? Krebsgeschwuer (Elmar Brok), Giftiger Abschaum (Marco Wanderwitz), Gesindel (Merz). Das ist die Sprache der angeblich buergerlichen CDU in der Auseinandersetzung mit WU und AfD. Die Heuchler zeigen ihr wahres Gesicht. Hass Hetze;AfD;negative
Beatrix_vStorch15839336971;Erdogan kerkert politische Gegner ein, fuehrt einen Vernichtungskrieg gegen die Kurden, treibt Migranten auf die EU-Grenze, diffamiert Griechenland und verharmlost die Naziverbrechen. Wo bleibt die klare Kante gegen diese Aggression? Istandwithgreece;Erdogan;negative
Beatrix_vStorch15854978401;wurde mit dem Versprechen in den Euro gelockt, dass es niemals fuer Schulden anderer -Laender haften muesse. Dieses Versprechen waere spaetestens mit Coronabond|s endgueltig gebrochen. Daher Nein zu diesem Schuldenvergemeinschaftungs-Instrument. Covid_19;Euro;negative
Beatrix_vStorch15862634751;hat 190 Professuren fuer Pharmazie, aber 200 fuer Gender Studies?! DIE koennen alle weg. Wir brauchen Apotheker und Lastkraftfahrer, aber niemanden, der ueber das Geschlecht von Buecherregalen philosophiert. Pharmaziestatt Gender Studies! nurdie Af D COVID2019de;Geschlecht;negative
Beatrix_vStorch15886604961;Die EZB ist zur Gelddruckmaschine der Schulden-Staaten verkommen und operiert im geldpolitischen Nirwana. Das Bundesverfassungsgericht musste dem jetzt eine Grenze setzen, alles andere haette der Glaubwuerdigkeit des BVer G noch (!) schwereren Schaden zugefuegt. Karlsruhe;EZB;negative
Beatrix_vStorch15917727331;Zahl der Mittelmeermigranten in hat sich trotz Corona-Beschraenkungen in den ersten fuenf Monaten 2020 zum Vorjahr fast verdreifacht. Sie stammen aus Bangladesch, Tunesien oder der Elfenbeinkueste. Geheimdienst warnt: 20.000 weitere warten in Libyen. Die Welle rollt weiter. AfD;Mittelmeermigranten;negative
Beatrix_vStorch15951536621;Die partyundeventszene in Frankfurt aehnelt also der von Stuttgart: hoher Migrationsanteil, betrunken und hoch aggressiv. Aber hey! Dass mir jetzt keiner sagt, wir haben ein Problem mit Migranten. Wann Wacht Dieses Volk Endlich Auf;Migranten;negative
Beatrix_vStorch15985309971;Nanu? Genderneutrale Berlinale-Preise sind dann auch wieder frauenfeindlich? Wieder keine Gender- und Diversitaetsgerechtigkeit? Was genau wollt ihr denn? Fragen ueber Fragen. Einfach nur noch irre... Gender Gaga kannweg;Gender;negative
Beatrix_vStorch15994589231;Der BER ist pleite wenn der Steuerzahler nicht mal wieder hunderte Millionen EUR nachschiesst. SPD, CDU, Gruene und die LINKE heissen die Parteien, die dieses Debakel zu verantworten haben. Servicetweet Privat Statt Staat Rot Rot Gruenmussweg Tegel Bleibt;BER;negative
Beatrix_vStorch16001680641;Laut der griechischen Polizei sind die fuenf mutmasslichen Brandstifter von Moria Afghanen, deren Asylantraege abgelehnt worden waren. Eine sofortige Abschiebung haette also auch diese Tragoedie verhindert. Die europ. Loesung kann nur Festung Europa heissen.;Abschiebung;negative
Beatrix_vStorch16010223891;DAS werden wir bekaempfen!Das ist nicht bunt u tolerant. Das ist Unterwerfung u dumm.Wenn in Riad zur Einschulung unter Glockengelaeut Grosser Gott wir loben Dich gesungen wird,koennen wir darueber noch mal reden.Sonst nicht Unser Land Unsere Werte Islamisierung Stoppen Tuttlingen;Islamisierung;negative
Beatrix_vStorch16022258851;Das Linksextremisten-Zentrum Liebig34 wird geraeumt. Endlich! Das ist ein Sieg fuer den Rechtsstaat. Ganz Berlin dankt der Polizei. Das kann aber nur der Anfang sein, um den ganzen linksextremen Sumpf trocken zu legen. Von der rigaerstrasse bis Connewitz;linksextremen;positive
Beatrix_vStorch16025927721;Die Gruenen wollen Frauenquote UND freie Selbstbestimmung des Geschlechts. Das zwang mich zur der Frage: gilt die Frauenquote dann auch fuer Maenner, die sich selbst zur Frau erklaert haben? Die Antwort von nicht verpassen! siehe Video im Link;Geschlechts;negative
Beatrix_vStorch16039630801;Der Allahu Akbar-schreiende Islamist enthauptete in der Basilika Notre-Dame eine 70-jaehrige Frau. Weiterer Mann soll durch Stiche ins Genick getoetet worden sein. Der Buergermeister von Nizza nennt das zurecht Islamo-Faschismus. Nicht verharmlosen: Das hat mit dem Islam zu tun;Islamist;negative
Beatrix_vStorch16049989001;Soso, laut CDU/CSU-BMI findet bei DITIB ein Generationswechsel statt. Wer von den juengeren Funktionstraegern hat denn mal oeffentlich Erdogan kritisiert? Distanziert sich vom politischen Islam? Verteidigt Israels Existenzrecht? Farce Islamkonferenz;Erdogan;negative
BetMueller15755427011;Heute ist Welttag des Ehrenamt Ehrenamtliche machen die Welt etwas besser und menschlicher. Zahllose Buergerinnen und Buerger in meinem Wahlkreis und darueber hinaus uebernehmen taeglich freiwillig Verantwortung in unserer Gesellschaft. Danke Wertschaetzung dubistnichtallein;Ehrenamt;positive
BetMueller15850439131;Die Corona-Pandemie ist eine absolute Ausnahmesituation und wir meistern sie nur, weil tausende Leistungstraeger gerade alles dafuer geben, unser gesellschaftliches Leben am laufen zu halten. Vielen Dank fuer euren Einsatz!;Corona-Pandemie;positive
BetMueller15971356751;Super! Ich bin ueberzeugt: mit Erfahrung und Besonnenheit, einem mutigen, progressiven Regierungsprogramm und einer geschlossenen werden wir deutlich besser abschneiden, als viele uns das derzeit zutrauen. Freue mich auf den Wahlkampf 2021!Kanzlerkandidat;Wahlkampf;positive
BetMueller16091527161;Ich lasse mich impfen, um selbst besser geschuetzt zu sein und um meinen Beitrag zur Bekaempung der Pandemie zu leisten, sagt Susanne Schaab. Auch die Buergermeisterin von Schotten unterstuetzt meinen Aufruf. Vielen Dank! Corona;impfen;positive
BriHasselmann15354296121;Was fuer ein Trauerspiel u.Versagen dieser Landesregierung in Sachsen! Wo bleibt der leidenschaftliche Einsatz u.die Verteidigung unserer Demokratie u. Rechtsstaat Gemeinsam einstehen fuer Dasandere Sachsen c2708;Demokratie;negative
BriHasselmann15372854451;Was fuer ein Theater Union und SPD die letzten Tage veranstaltet haben. Jetzt soll Maassen fuer sein Fehlverhalten auch noch mit dem Posten des Staatssekretaers im BMI belohnt werden. Man kanns nicht glauben. Union und SPD scheinen jedes politische Gespuer verloren zu haben;Maassen;negative
BriHasselmann15394133211;NICHTS ANDERS ALS HOMOPHOBIE IST, WAS SIE HIER VORTRAGEN! Widerlich, was die AFD-Typen am Donnerstag bei Ehefuer Alle im Bundestag von sich gegeben haben. Wir setzen ein klares Zeichen fuer Solidaritaet und gegen Ausgrenzung unteilbar wirsindmehr;HOMOPHOBIE;negative
BriHasselmann15423063481;Es ist offenkundig, die AFD hat ein Problem mit Recht u.Gesetz Spendenaffaere. Das von AFD vor sich her getragene Saubermann-Image bricht spaetestens jetzt endgueltig zusammen. Es ist hanebuechen, wie Alice Weidel versucht,die Leute fuer dumm zu verkaufen.;AFD;negative
BriHasselmann15423853221;Und noch was in Sachen Spendensumpf bei der AFD. Hat die Goal AG mit dubioser Spende von 50.000 Euro die Plakatkampagne von AFD-Mann Guido Reil finanziert?? Das stinkt alles zum Himmel bei der AFD! Parteispendenaffaere NoAFD;AFD;negative
